,Company,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price_euros
343,5,13.9,13.0,17.0,16,27.0,46.0,2,2099.0
344,4,13.3,2.0,17.0,8,15.0,46.0,2,1579.0
345,5,15.6,5.0,43.0,16,,55.0,2,1129.0
346,1,14.0,4.0,68.0,2,21.0,29.0,2,279.0
347,4,15.6,2.0,77.0,16,,46.0,2,1607.96
348,3,11.6,21.0,66.0,4,21.0,31.0,2,375.0
349,4,15.6,2.0,26.0,8,10.0,5.0,2,663.0
350,4,15.6,14.0,43.0,16,27.0,54.0,2,2027.42
351,1,15.6,2.0,65.0,8,15.0,40.0,2,1304.0
352,7,17.3,2.0,43.0,8,,57.0,2,1409.0
353,1,15.6,2.0,43.0,8,15.0,73.0,2,1738.27
354,9,15.6,5.0,79.0,16,27.0,50.0,2,1403.0
355,4,15.6,2.0,17.0,8,,5.0,2,970.9
356,5,15.6,4.0,66.0,4,10.0,31.0,1,321.99
357,4,15.6,2.0,8.0,8,10.0,54.0,2,999.0
358,4,15.6,21.0,94.0,8,20.0,40.0,2,557.37
359,4,14.0,2.0,29.0,8,15.0,40.0,2,1427.0
360,1,15.6,4.0,6.0,4,24.0,35.0,2,439.0
361,3,14.0,2.0,94.0,8,15.0,40.0,2,945.0
362,5,17.3,19.0,94.0,6,,61.0,2,719.0
363,1,15.6,2.0,94.0,8,10.0,40.0,2,639.0
364,5,15.6,4.0,6.0,8,15.0,,1,499.0
365,1,15.6,4.0,23.0,8,20.0,30.0,2,389.0
366,4,17.3,2.0,26.0,8,,5.0,2,1085.0
367,5,15.6,5.0,8.0,8,,54.0,1,809.0
368,4,15.6,2.0,65.0,8,15.0,22.0,2,899.0
369,1,14.0,5.0,65.0,8,15.0,40.0,2,1750.0
370,3,15.6,7.0,65.0,12,,53.0,2,1099.0
371,2,15.6,4.0,7.0,4,4.0,13.0,2,426.0
372,3,17.3,5.0,56.0,16,,26.0,2,2199.0
373,5,17.3,19.0,40.0,4,4.0,13.0,2,489.0
374,4,13.3,7.0,17.0,8,15.0,46.0,2,869.01
375,1,15.6,2.0,7.0,4,15.0,13.0,2,488.99
376,5,11.6,20.0,25.0,4,4.0,31.0,2,553.0
377,4,15.6,4.0,,4,24.0,29.0,2,309.0
378,3,14.0,4.0,66.0,4,21.0,31.0,2,286.0
379,2,15.6,2.0,43.0,8,10.0,54.0,4,846.0
380,1,17.3,5.0,43.0,8,,54.0,2,1191.0
381,5,15.6,2.0,6.0,4,4.0,35.0,1,403.5
382,3,15.6,5.0,43.0,8,,57.0,2,1655.0
383,5,14.0,5.0,94.0,8,15.0,52.0,2,1099.0
384,3,13.3,7.0,65.0,16,27.0,40.0,2,1748.9
385,5,14.0,,65.0,8,27.0,40.0,2,2282.0
386,5,13.3,5.0,90.0,4,4.0,40.0,2,549.0
387,4,15.6,2.0,58.0,8,24.0,1.0,2,1369.0
388,4,15.6,5.0,48.0,8,15.0,73.0,2,2135.0
389,5,14.0,12.0,65.0,16,27.0,40.0,2,2509.0
390,3,17.3,2.0,43.0,8,10.0,54.0,2,1039.0
391,3,17.3,2.0,43.0,16,,55.0,2,1591.0
392,2,15.6,20.0,26.0,12,10.0,68.0,2,693.99
393,7,17.3,2.0,43.0,8,15.0,55.0,2,1349.0
394,4,15.6,2.0,65.0,8,15.0,22.0,4,778.87
395,1,15.6,2.0,7.0,4,15.0,4.0,2,499.0
396,5,15.6,5.0,17.0,8,15.0,24.0,2,1229.56
397,5,14.0,5.0,94.0,8,15.0,40.0,2,938.0
398,4,15.6,14.0,43.0,8,15.0,73.0,2,2712.0
399,5,14.0,,65.0,16,11.0,40.0,2,2625.0
400,5,15.6,4.0,66.0,4,10.0,31.0,2,306.0
401,3,17.3,2.0,43.0,16,,54.0,2,1529.0
402,5,15.6,5.0,26.0,8,,24.0,2,1144.5
403,2,15.6,2.0,43.0,8,15.0,54.0,4,879.0
404,7,17.3,2.0,43.0,16,,58.0,2,2249.0
405,3,14.0,2.0,65.0,8,27.0,40.0,2,1873.0
406,9,13.3,2.0,79.0,16,27.0,35.0,2,1747.0
407,4,14.0,2.0,,8,27.0,28.0,2,1680.0
408,5,15.6,2.0,6.0,4,24.0,35.0,2,409.0
409,5,11.6,4.0,66.0,2,21.0,31.0,2,304.45
410,5,15.6,2.0,43.0,8,27.0,73.0,2,1925.0
411,5,14.0,,43.0,8,27.0,53.0,2,1943.0
412,1,15.6,2.0,6.0,4,10.0,4.0,2,469.0
413,2,13.3,6.0,79.0,8,15.0,35.0,2,789.01
414,3,13.3,6.0,94.0,8,15.0,40.0,2,928.0
415,4,15.6,2.0,94.0,4,15.0,18.0,4,598.9
416,4,13.3,4.0,6.0,4,4.0,35.0,2,689.0
417,1,14.0,2.0,79.0,8,15.0,35.0,2,1500.0
418,4,15.6,4.0,94.0,8,10.0,40.0,2,539.95
419,5,14.0,5.0,17.0,8,15.0,24.0,2,1215.38
420,5,15.6,13.0,43.0,16,27.0,54.0,2,1899.0
421,6,12.3,18.0,25.0,6,32.0,31.0,2,449.0
422,1,15.6,2.0,62.0,8,15.0,,2,1427.0
423,3,15.6,2.0,90.0,8,10.0,52.0,4,597.0
424,4,17.3,,73.0,16,,58.0,2,2799.0
425,4,15.6,5.0,43.0,8,,55.0,2,1159.0
426,4,15.6,2.0,17.0,8,,5.0,2,1142.4
427,4,14.0,2.0,,8,15.0,40.0,4,1099.0
428,1,17.3,2.0,43.0,12,,58.0,2,1999.0
429,14,11.6,6.0,66.0,4,23.0,31.0,2,299.0
430,15,11.6,4.0,68.0,4,7.0,29.0,7,269.0
431,5,13.3,5.0,65.0,8,15.0,40.0,2,1010.0
432,5,14.0,5.0,22.0,4,4.0,40.0,2,599.0
433,5,15.6,15.0,,16,27.0,52.0,2,2445.0
